N;seed;SUB_harmonic_LB;SUB_harmonic_UB;SUB_harmonic_arbitrary_LB;SUB_harmonic_arbitrary_UB;SUB_harmonic_aggregation_LB;SUB_harmonic_aggregation_UB;SUB_formula_LB;SUB_formula_UB;SUB_formula_arbitrary_LB;SUB_formula_arbitrary_UB;SUB_formula_aggregation_LB;SUB_formula_aggregation_UB;SUB_random_LB;SUB_random_UB;SUB_random_arbitrary_LB;SUB_random_arbitrary_UB;SUB_random_aggregation_LB;SUB_random_aggregation_UB;SA_LB;SA_UB;greedy
30;0;10305.5;68384;0;80848;14653.3;56400;16836.1;31952;28413.1;29824;25332;50384;23489;30896;28402.8;29824;26149.6;43968;14654.9;46832;61424
30;2;7551.36;40976;0;58720;9432.44;41200;12249.2;17680;16228.9;16896;14976.7;21520;13748.2;20112;16314.4;16864;15488.2;22192;10850.7;30144;71968
30;4;8628.15;67088;0;96528;12446.2;69712;11298.5;29696;24499.5;25760;23059;30272;21583.7;29168;24965.4;25664;23536.7;36448;12147.4;65344;65072
30;6;7844.57;36160;0;53264;11065.2;46240;15044.6;26448;23964.1;25376;22798.8;28032;18009.6;27088;23629.6;25552;22988.7;31680;11029.7;35936;68976
30;8;8469.28;44448;0;81504;12186.8;64256;7226.16;25520;22570.9;23328;20137.2;33088;17637.1;25456;22965.9;23328;20761;45440;12052.8;33568;78544
30;10;10186.2;61680;0;101472;14089.5;59040;15119.8;36560;33284.4;34848;31783.1;38640;29139.3;37904;33623.3;34784;30077.2;41216;16852.3;51520;117696
30;12;8964.59;64960;0;78064;13015.4;63376;15636;27536;24760.1;26560;24027.3;27968;21972.4;27760;25217.4;26560;23724.2;51808;15566.9;52048;106784
30;14;6329.63;44848;0;53040;9904.57;48672;18397;24128;22445.5;23952;20829.2;25072;17066.1;24240;22663.4;23968;20781.3;34608;10822;40416;50032
30;16;10394.6;61696;0;87536;15793;72160;13018.7;28176;26115;27824;25397.7;36848;19692.9;32336;26613.1;27920;24190.9;32528;15944;43424;69120
30;18;11268.8;47648;0;74496;14774.3;44128;13115.4;27328;23379.5;26064;22818.1;28992;18560.5;30000;23824.5;26208;22936.2;33344;14610.2;38688;80320
30;20;8435.73;54752;0;83584;11128.3;54224;11173.5;19280;16730.2;17808;14344.8;27648;14764.6;18208;16857;17808;14694.4;27904;12127.7;23520;53120
30;22;9484.33;56688;0;79248;14099.5;66688;15446.3;40800;36404.9;37184;32541.8;50144;29174.8;42800;36125.2;37184;33181.6;50224;16757.7;52160;72624
30;24;6591.12;64688;0;71168;13169.9;67296;0;29088;22597.7;27296;22488.4;34512;17543.4;28288;23150.4;28144;21787;31216;9692.96;46928;93040
30;26;9667.95;59968;0;74096;14633.4;70896;15124.3;35920;32396.9;33696;31390.4;35008;26288.3;39312;32116.3;34736;30151.9;40032;15674.6;56288;98800
30;28;6943.25;62144;0;72416;11161.4;59856;12110.5;18784;17443.3;18304;16329.4;29008;15738.7;19136;17725.7;18304;16856.5;25936;12924.3;35168;54640
30;30;7243.57;51504;0;75552;10688.7;57840;9501.32;25200;21861.3;23024;21226.4;24864;10626.9;38592;22429.5;22960;19886.9;30688;8808.5;51376;87536
30;32;7135.55;36608;0;56416;11188.8;35808;0;24640;21373.3;23120;17970.5;40608;13426.2;26016;20874;23088;20258.5;33152;3505.74;41088;95920
30;34;12063.4;67104;0;86000;17655.9;61392;22530.8;40240;36520.5;38320;34751.6;43184;31016.4;40256;36392.3;38544;33536.6;45344;21242.8;55600;91712
30;36;6685.71;30272;0;41968;10999.2;49664;0;19968;17324.1;18064;16212.3;31056;12575.5;20848;17370.4;18064;16004.7;33664;7142.74;23664;74224
30;38;8496.39;46416;0;69808;12815;54656;0;23680;20436.4;21312;17536;29424;16746.4;21312;20109;21312;20033.3;34352;10892.3;29808;80256
30;40;5111.58;41040;0;52192;9099.8;52864;3400.82;21216;18611.8;19808;17092.6;26752;14121.9;21760;18306.7;20128;16163.2;32208;8655.87;33712;84240
30;42;7387.84;58656;0;83968;11294.8;63376;11441;26944;23402.5;25984;22896.5;37808;19924.4;27888;24363.7;25632;22221.7;41856;10995.7;47312;73936
30;44;6415.52;34432;0;63344;8478.75;43616;9002.26;16448;14194.8;15680;11647.3;23472;10172.6;19776;14596.3;15616;11900.6;24976;8169.71;27360;49008
30;46;6415.86;45872;0;67888;9434.47;42256;6960.58;16720;14419.7;15664;12740.1;32496;11212.2;16240;14784;15600;12319.6;35984;7585.16;26016;55424
30;48;7055.12;28176;0;46768;9122.4;29904;11043.7;15616;14627.4;15008;12135.6;27344;13331.5;15776;14744.5;14992;12921;27408;8343.74;20064;57824
40;0;7223.67;73552;0;117168;15228.8;91200;0;53536;35413.8;39232;32760.5;50384;8153.44;64064;35984.7;39360;30794.8;53072;8819.77;66704;119568
40;2;6114.78;74832;0;92432;11006.1;78784;3455.76;28144;21298.1;25200;19676.7;29680;13511.2;34576;22712.1;25328;19443.5;38448;9047.93;66592;66048
