N;seed;SUB_harmonic_LB;SUB_harmonic_UB;SUB_harmonic_arbitrary_LB;SUB_harmonic_arbitrary_UB;SUB_harmonic_aggregation_LB;SUB_harmonic_aggregation_UB;SUB_formula_LB;SUB_formula_UB;SUB_formula_arbitrary_LB;SUB_formula_arbitrary_UB;SUB_formula_aggregation_LB;SUB_formula_aggregation_UB;SUB_random_LB;SUB_random_UB;SUB_random_arbitrary_LB;SUB_random_arbitrary_UB;SUB_random_aggregation_LB;SUB_random_aggregation_UB;SA_LB;SA_UB;greedy
40;19;1577.77;6469;0;8260;-783.986;10805;3046.67;3056;1873.67;3793;-3511.64;10113;3006.33;3056;1663.03;3684;-1883.93;10113;2824.52;3067;9037
40;21;2105.82;6471;0;10031;-779.148;9860;3884.41;3910;2631.5;4341;-3313.85;9689;3805.04;3933;2427.52;4344;-2202.39;9689;3655.03;3942;6851
40;23;1541.66;4767;0;9842;-650.488;9140;2338.69;2387;1644.52;2733;-2407.45;9099;2308.56;2375;1549.65;2624;-1245.33;8796;2234.62;2379;7762
40;25;1735.53;5510;0;8611;-961.76;7607;3245.01;3277;2153;3755;-2790.74;7607;3190.75;3309;1986.96;3641;-2111.76;7607;3047.77;3332;7587
40;27;1515.66;4821;0;5988;-942.988;9651;3036.46;3066;2073;3420;-2662.72;8659;2965.78;3084;1977.28;3416;-1692.93;6334;2791.26;3124;11478
40;29;1572.72;5059;0;9723;-924.441;11255;3000.2;3021;1983.57;3557;-2781.18;9293;2935.66;3031;1863.2;3713;-1605.87;9293;2714.85;3187;9761
40;31;1214.76;2853;0;5501;-849.05;10649;2011.39;2013;1387.71;2149;-2637.23;9824;2001.66;2013;1300.03;2149;-1635.42;9824;1851.84;2021;5582
40;33;1481.21;5015;0;7393;-855.851;8699;3044.94;3071;1986.83;3797;-2360.43;8701;3017.34;3071;1739.43;3704;-1812.61;8701;2834.84;3255;9795
40;35;1861.97;5320;0;9907;-867.647;11697;3310.11;3312;2281.36;3805;-3279.92;11384;3265.36;3312;2125.42;3798;-1730.66;10247;3011.75;3350;9846
40;37;1984.53;4958;0;8732;-898.075;8139;3388.26;3389;2332.7;3814;-2149.73;8139;3311.07;3444;2117.73;3740;-2049.73;8139;3192.11;3528;7626
40;39;2150.44;7926;0;10076;-1043.4;10377;4360.98;4406;3098;4900;-3196.54;10377;4309.14;4417;2820.72;4701;-3089.2;10377;4161.29;4727;8552
40;41;1658.98;4198;0;7136;-1012.51;8811;2834.43;2850;1883;2937;-2514.91;8050;2734.04;2900;1732.49;3053;-1947.81;8050;2631.44;2863;7517
40;43;1358.61;4212;0;7973;-753.927;8887;2248.78;2265;1502.02;2506;-2277.85;8300;2150.52;2324;1394.77;2644;-1595.12;7763;2038.68;2339;8666
40;45;1412.03;2414;0;6814;-741.38;7962;2001.1;2057;1404.5;2137;-2266.81;8302;1953.55;2061;1323.79;2137;-1134.16;7962;1821.14;2022;7781
40;47;1943.54;6013;0;9963;-746.335;9481;3191.41;3209;2330.6;3416;-2255.19;9481;3109.12;3253;2188.65;3416;-1819.66;9481;3039.21;3247;9334
40;49;1141.48;2717;0;6389;-974.605;10628;1514.43;1527;1089.67;1662;-3261.95;10628;1499.52;1535;981.33;1662;-1486.05;10628;1357.37;1556;6083
50;1;1831.95;6155;0;11296;-1330.91;16396;3566.54;3592;2294.8;4007;-5329.34;16396;3507.43;3606;2044.69;3926;-2529.42;16396;3121.03;4201;15019
50;3;1649.38;4078;0;9153;-1104.66;14265;2370.49;2394;1691.8;2777;-3846.42;14265;2328.93;2439;1464.18;2777;-1612.2;14265;2082.41;2437;8931
50;5;2410.32;8578;0;12450;-1032.31;14737;4222.62;4281;2977.67;4629;-3944.05;14667;4171.97;4284;2836.63;4594;-2367.93;14667;3887.17;4304;10688
50;7;1849.63;6402;0;9231;-1121.59;10856;3317.44;3361;2238;3731;-3633.21;10857;3213.63;3402;2063.66;3731;-2396.54;10856;2963.72;3410;12371
50;9;1919.68;7747;0;11954;-1284.79;11122;3134.33;3153;2262;3646;-3515.02;11122;3070.03;3142;2013.6;3569;-2381.04;11122;2688.09;3169;10500
50;11;1848.64;8540;0;13272;-863.953;12676;3764.78;3898;2509.42;4433;-3868.36;10301;3577.1;4042;2276.89;4631;-2614.98;10299;3438.21;4264;9372
50;13;2248.55;9962;0;14665;-936.385;14884;5104.92;5162;3371.4;6383;-4992.89;14885;4915.44;5347;2815.38;6356;-3201.16;14467;4507.31;6244;13898
50;15;2156.39;7161;0;12802;-1060.59;17629;3513.29;3552;2492.4;4091;-5398.83;17629;3488.16;3552;2324.32;4091;-2229.79;15024;3303.03;3557;13326
50;17;1853.04;8625;0;11964;-781.106;15573;3535.11;3545;2107.49;4611;-4829.21;16888;3291.66;3736;970.617;4611;-1929.48;14715;3059.69;3961;18963
50;19;1950.98;8340;0;13715;-882.539;18299;3610.77;3659;2587.67;4108;-5091.39;15113;3568.9;3709;2425.19;3977;-2314.74;14268;3333.51;3668;13453
50;21;1615.41;5783;0;8468;-1029.37;14626;3091.41;3178;2095.29;3352;-6260.5;12664;3033.21;3182;1953.48;3328;-2853.98;10616;2794.97;3442;11021
50;23;1652.06;4397;0;8915;-1016.97;11159;2673.49;2711;1690;3243;-3332.27;11159;2457.85;2883;1559.2;3046;-1697.93;9646;2195.4;2916;8627
50;25;1925.36;6887;0;13362;-1208.14;11694;3080.17;3120;2193.2;3687;-4664.44;11694;2941.02;3192;1972.91;3622;-2046.17;11694;2752.32;3196;14940
50;27;1805.18;5650;0;9176;-1072.09;16004;3732.1;3765;2559;4107;-5334.33;15620;3562.19;3813;2349.69;4083;-2629.73;13444;3112.86;4013;12766
50;29;2639.26;10006;0;16006;-636.008;19942;5743.2;5773;4316.86;6208;-4157.69;19599;5497.86;5870;3846.72;6208;-3268.56;19599;5166.26;5871;14400
50;31;1644.33;5430;0;10685;-1049.89;12618;3142.32;3175;1982.46;3748;-4048.77;8136;3085.1;3177;1608.76;3748;-2161.1;8134;2759.83;3480;11292
50;33;1955.8;6903;0;10912;-1089.61;14632;4083.2;4123;2525;4537;-4440.02;14633;3883.01;4243;2324.09;4463;-2692.11;14632;3522.63;4297;11681
50;35;2066.77;6683;0;12974;-1144.21;17168;3553.07;3593;2581.4;3776;-5013.73;16388;3258.39;3830;2302.94;3793;-2258.92;16390;3097.32;3880;12950
50;37;1779.14;5360;0;9765;-1119.95;13042;3092.52;3131;2145.29;3510;-3156.36;11561;3017.33;3154;1976.46;3389;-2092.61;11561;2726.88;3137;10936
50;39;2242.93;9727;0;13886;-1306;17179;4909.97;5005;3155.67;5800;-4698.88;17179;4779.4;5031;2843.07;5800;-3221.76;16451;4283.49;5881;16115
50;41;1908.8;6289;0;8690;-1118.46;16049;3583.99;3619;2443.89;3934;-5211.41;16049;3557.03;3632;2260.79;3878;-2519.29;16049;3182.36;3654;9785
50;43;1366.9;3866;0;7892;-998.16;12481;2325.91;2333;1497.63;2735;-3280.76;12481;2214.85;2395;1347.38;2634;-1413.92;12481;2019.05;2408;10568
50;45;2011.59;6965;0;11689;-754.761;14853;3319.29;3396;2302.46;3972;-2845.95;14632;3292.02;3396;1973.32;4270;-1509.08;14632;3054.69;3584;13612
50;47;2169.12;8477;0;13555;-568.902;14755;4906.23;4935;3306.94;5488;-3456.28;10777;4832.73;4954;3085.61;5474;-2308.35;10777;4496.96;5165;13661
50;49;2376.59;8371;0;15323;-798.443;14757;3752.16;3788;2707.83;4182;-2525.98;14175;3713.98;3809;2414.81;4407;-1597.43;12794;3462.08;3814;14425
